金蝶数据库表结构  
2011-03-0519:27:28|  分类： 默认分类 |  标签： |字号大中小 订阅

统ID 表ID 表名 表中文名 表说明 
5 50034 t_rp_AdjustAccount 调汇科目汇总表 调汇科目汇总表 

5 50035 t_rp_AdjustRate   

5 50036 t_rp_AdjustRateEntry 调汇表体 调汇表体 

5 50037 t_rp_PayApplyBillEntry 付款申请单分录付款申请单分录 

6 50038 t_RP_Plan_Ar 其它应收单分录 其它应收单分录 

5 50039 t_RP_Plan_Ap 其它应付单分录 其它应付单分录 

5 50040 t_RP_ARPBill 其它应收单 其它应收单 

5 50041 t_rp_Exchange 多币别换算表 1000005 

5 50042 t_rp_arpbillEntry 其它应收单 其它应收单 

6 60000 t_RP_ARPBill 其它应付单 其它应付单 

6 60001 t_rp_PayApplyBill 付款申请单 付款申请单 

6 60002 ICPurBill 采购发票 采购发票表头 

6 60003 ICPurEntry 采购发票分录 采购发票表体 

6 60004 t_rp_ARBillOfSH 付款单 付款单 

6 60005 t_RP_Bill 应收应付票据表FRP=1-应收：FRP=0-应付 

6 60006 t_rp_bill_discount 应收票据贴现保存每张票据贴现情况记录 

6 60007 t_RP_Bill_Settle 应收、应付票据的结算表票据结算记录 

6 60008 t_RP_Bill_Transfer 应收票据转让 票据转出记录 

6 60009 t_RP_BillNumber 票据号码表 保存最新的票据号码 

6 60010 t_Rp_CheckDetail 核销明细每次核销前的金额及核销后的余额 

6 60011 t_rp_CheckEntry 存货核销表对存货核销的的数量与金额记录 

6 60012 t_RP_Contact 应收、应付往来表往来账明细表。FRP=1-应收：FRP=0-应付1-应收：FRP=1-应收：FRP=0-应付0-应付 

6 60013 t_RP_ContactBal 往来余额表往来账余额表。FRP=1-应收：FRP=0-应付1-应收：FRP=1-应收：FRP=0-应付0-应付 

6 60014 t_RP_NewCheckInfo 核销日志核销业务详细记录。FRP=1-应收：FRP=0-应付1-应收：FRP=1-应收：FRP=0-应付0-应付 

